iter	Passed	Remaining
904	5555	583
905	5562	577
906	5569	571
907	5575	564
908	5581	558
909	5588	552
910	5594	546
911	5602	540
912	5608	534
913	5614	528
914	5621	522
915	5628	516
916	5635	510
917	5642	504
918	5649	497
919	5655	491
920	5662	485
921	5669	479
922	5675	473
923	5682	467
924	5688	461
925	5694	455
926	5700	448
927	5707	442
928	5713	436
929	5720	430
930	5726	424
931	5732	418
932	5739	412
933	5746	406
934	5753	399
935	5759	393
936	5765	387
937	5771	381
938	5777	375
939	5784	369
940	5792	363
941	5798	357
942	5805	350
943	5812	344
944	5818	338
945	5823	332
946	5831	326
947	5836	320
948	5842	313
949	5848	307
950	5853	301
951	5858	295
952	5864	289
953	5870	283
954	5875	276
955	5881	270
956	5886	264
957	5892	258
958	5897	252
959	5903	245
960	5909	239
961	5915	233
962	5921	227
963	5926	221
964	5932	215
965	5938	209
966	5943	202
967	5949	196
968	5954	190
969	5960	184
970	5966	178
971	5971	172
972	5976	165
973	5982	159
974	5987	153
975	5993	147
976	5999	141
977	6005	135
978	6010	128
979	6016	122
980	6021	116
981	6027	110
982	6032	104
983	6038	98
984	6043	92
985	6049	85
986	6054	79
987	6060	73
988	6066	67
989	6071	61
990	6077	55
991	6083	49
992	6088	42
993	6094	36
994	6099	30
995	6105	24
996	6111	18
997	6117	12
998	6124	6
999	6131	0
